perm_id,name,ticker,jc_industry_perm_id,industry_name,ranked_in_2021,ranked_in_2020,ranked_in_2019,ranked_in_2018
2d68bc636a5e8b15b9b873bb1,Martin Marietta Materials Inc,MLM,7ac110e84d23204aa63c248a732f2179,Building Materials & Packaging,1,1,1,1
c74931df4508653be254d47e1,"Marsh & McLennan Companies, Inc.",MMC,eaff1bdf24fcffe0e14e29a1bff51a12,Insurance,1,1,1,1
57c08ed4d2c425167a0e03c2c,3M Company,MMM,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,1
998222088e50a92edf38c276f,Maximus,MMS,c55bccd7265df862ebc4dc9c8cb418fb,Commercial Support Services,0,0,0,0
6d69d88a77700a7808c1d48de,Mallinckrodt,MNK,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,0,0,0,1
647ed88d6df3fff9891a52f30,Monster Beverage Corporation,MNST,e3f4aafdc8b3562a52a4f6bbaa217e69,"Food, Beverage & Tobacco",1,1,1,1
bd812da9d5f64518d9ee38ec2,"Altria Group, Inc.",MO,e3f4aafdc8b3562a52a4f6bbaa217e69,"Food, Beverage & Tobacco",1,1,1,1
aba1051e8175692422675d8d3,Molina Healthcare Inc,MOH,83ae5dbf7ddd148ec0fcaef46d6d3183,Health Care Providers,1,1,1,0
8daa267b62c139668be69fe64,Monsanto,MON,e3f4aafdc8b3562a52a4f6bbaa217e69,"Food, Beverage & Tobacco",0,0,0,1
cb86cf4de3da031fe9c4cf73d,Morningstar Inc,MORN,3b563524fdb17b4a86590470d40bef74,Media,1,1,1,1
b93e02f755506813a60bb08f0,The Mosaic Company,MOS,6089771c4b5ac170dfb12ccafc589ce9,Chemicals,1,1,1,1
ec6f976b024f393dfb1414d52,Marathon Petroleum Corp,MPC,5186f581089f313773b32576818b79fe,Oil & Gas,1,1,1,1
f3b16aad2edf7a6b5dd9d2ab1,Monolithic Power Systems Inc,MPWR,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,1,1,1,0
88ec1bdeaab5dc1d4437de1cc,"Mercury Systems, Inc. ",MRCY,c858b4ff24bc25a5b36ea56dad3897db,Aerospace & Defense,1,0,0,0
bcb24d34d0e120d87ea386c8e,"Merck & Co., Inc.",MRK,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,1,1,1
27eb877f905ab5e4921d84ce4,"Moderna, Inc.",MRNA,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,1,0,0
fa609de0cf01f03972359584a,Marathon Oil Corp,MRO,5186f581089f313773b32576818b79fe,Oil & Gas,1,1,1,1
07595008b51dca18578ec090c,Marvell Technology Group Ltd,MRVL,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,1,1,1,1
7e541347b1ebea015baad2166,Morgan Stanley,MS,98bf4640b315d6320d944b36f9ea06e7,Capital Markets,1,1,1,1
87e832c6bf8410b1c1bfc7a29,MSA Safety Inc,MSA,257a8d97f966fedd03cf5d7f558f68e2,Commercial Vehicles & Machinery,1,0,0,0
0a67664c27323a0039570279d,Microsemi Corp,MSCC,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,0,0,0,1
69dc5dfe3b692c927edfc0def,MSCI Inc,MSCI,d271a2c22f236f624dae9917965bab6d,Consumer & Diversified Finance,1,1,1,1
681873205a765c355f58f1911,Microsoft Corporation,MSFT,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,1
89e7a16643ef8efd3ec430ef1,Madison Square Garden Entertainment Corp. ,MSGE,f7191f4efa57134e0e3c349a0d36eec3,Restaurants & Leisure,1,0,0,0
49dbc7c22ea3db1e1371f6780,Madison Square Garden Sports,MSGS,f7191f4efa57134e0e3c349a0d36eec3,Restaurants & Leisure,1,1,1,1
0a3bb9fb37e4f065a98344f22,"Motorola Solutions, Inc.",MSI,955e5ef956e469bce74b0d640f18c9fb,Technology Hardware,1,1,1,1
3bac0348567da6fa6634e31ec,"MSC Industrial Direct Co., Inc.",MSM,c55bccd7265df862ebc4dc9c8cb418fb,Commercial Support Services,1,1,1,1
8297d1205f6c5a1450eb7e4b6,M&T Bank Corp,MTB,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
158fd62c2b0262ce310dfd5c4,Match Group Inc,MTCH,c8205c7636e728d448c2774e6a4a944b,Internet,1,1,1,1
4d5ec07430f796bb3a22683a8,Mettler-Toledo International Inc,MTD,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,1
2d878043bf2dc8115c7995ba6,MGIC Investment Corporation,MTG,d271a2c22f236f624dae9917965bab6d,Consumer & Diversified Finance,1,1,0,0
8d41e43bd274b0909d2a8934b,Vail Resorts Inc,MTN,f7191f4efa57134e0e3c349a0d36eec3,Restaurants & Leisure,1,1,1,1
9b8132d432ff0cb5c74c22e45,Micron Technology Inc,MU,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,1,1,1,1
493b58ef774d0dc25b9f064dc,Murphy Oil Corporation,MUR,5186f581089f313773b32576818b79fe,Oil & Gas,1,1,1,1
e6d849c032b08cba94f5c8bd1,Murphy USA,MUSA,053e0bc8b9627b28e2ed8029a34b35bd,Retail,0,0,0,1
07c9fb34a16607c0a33ed6877,Maxim Integrated Products Inc,MXIM,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,1,1,1,1
7d6be1ad0d2e0b004315021f6,Mylan N.V.,MYL,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,1,1,1
2ca305bb7d07f6fc2f49d58e6,National Instruments Corporation,NATI,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,1
89786e3ad81f5d5020d035f0b,Navient Corp,NAVI,d271a2c22f236f624dae9917965bab6d,Consumer & Diversified Finance,0,1,1,1
1cd8d55e54ab4cc35815f37c7,Neurocrine Biosciences Inc,NBIX,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,1,1,1
0040f5f17ffc61944024e975e,Noble Energy Inc,NBL,5186f581089f313773b32576818b79fe,Oil & Gas,1,1,1,1
0c9a54df558584b5b4bec005d,Nabors Industries Ltd,NBR,8eeb54b8e9786d5ed4cf8ff2686e2d42,Energy Equipment & Services,0,0,1,1
723edea951b2cffc44ebe142b,Norwegian Cruise Line Holdings Ltd.,NCLH,f7191f4efa57134e0e3c349a0d36eec3,Restaurants & Leisure,1,1,1,1
ef7f680c6aad50575f4dacac8,NCR Corp,NCR,955e5ef956e469bce74b0d640f18c9fb,Technology Hardware,1,1,1,1
a67adf918f60d862c16e25009,"Nasdaq, Inc.",NDAQ,98bf4640b315d6320d944b36f9ea06e7,Capital Markets,1,1,1,1
bdc21d6eacf83565e83a3ca01,Nordson Corp,NDSN,257a8d97f966fedd03cf5d7f558f68e2,Commercial Vehicles & Machinery,1,1,1,1
dde243d65ae48e52af6322c36,NextEra Energy Resources LLC,NEE,ceba282b7418b7f199798b645e1cba56,Utilities,1,1,1,1
9e335c89ab230e53e3a547878,Newmont Mining Corp,NEM,b9a140691b80e2a764a04b14a3d816b9,Basic Resources,1,1,1,1
a31b604ca45b8b1a558e0f78a,Cloudflare,NET,719d067b229178f03bcfa1da4ac4dede,Software,1,0,0,0
080be674f7ca03fb939f9d84a,NewMarket Corp,NEU,6089771c4b5ac170dfb12ccafc589ce9,Chemicals,1,1,1,1
c2c401dcb7f9785ffc316fc27,"New Relic, Inc.",NEWR,719d067b229178f03bcfa1da4ac4dede,Software,1,1,0,0
3125cb2fe964e26e3e57fca5e,National Fuel Gas Co,NFG,ceba282b7418b7f199798b645e1cba56,Utilities,1,1,1,1
4c9ffbd9325d54a424c8cfff2,Netflix Inc,NFLX,053e0bc8b9627b28e2ed8029a34b35bd,Retail,1,1,1,1
2be2910a0b831a5a315714d51,Newfield Exploration Co,NFX,5186f581089f313773b32576818b79fe,Oil & Gas,0,0,1,1
bbee0cb4e71b012eeb382efd6,Ingevity,NGVT,6089771c4b5ac170dfb12ccafc589ce9,Chemicals,0,0,0,0
ded888ffb5b84421ac8544813,NiSource Inc,NI,ceba282b7418b7f199798b645e1cba56,Utilities,1,1,1,1
e8c3918a1ba261883ea8ded73,"NIKE, Inc.",NKE,6ccd87c01fb82eac743307c8dd219fd3,Household Goods & Apparel,1,1,1,1
3d1a776d9474ed3d5aa7bfc6c,Nektar Therapeutics,NKTR,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,1,1,0
b91296cdf2787067077eb7e95,NortonLifeLock Inc,NLOK,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,1
08a4199c157b6c2ca46cf6ecb,Nielsen Holdings PLC,NLSN,3b563524fdb17b4a86590470d40bef74,Media,1,1,1,1
b7f5ad4cce9d991bfe96e1872,Northrop Grumman Corporation,NOC,c858b4ff24bc25a5b36ea56dad3897db,Aerospace & Defense,1,1,1,1
ecdfbe068a8b0cc75ad1ccb10,National Oilwell Varco LP,NOV,8eeb54b8e9786d5ed4cf8ff2686e2d42,Energy Equipment & Services,1,1,1,1
17532d8e24e1cc6a7c0342371,"ServiceNow, Inc.",NOW,26bf8f8d573c40a59aebf4eb0e5d914f,Computer Services,1,1,1,1
af75da7aabb879896da5c33da,"NRG Energy, Inc.",NRG,ceba282b7418b7f199798b645e1cba56,Utilities,1,1,1,1
5c51f4601c6d45505e6e5db06,Norfolk Southern Corp,NSC,a600971fdd23ea1f5685d7ee01d5f5c3,Transportation,1,1,1,1
257710e9afbda7a3d33c1f771,Insperity,NSP,c55bccd7265df862ebc4dc9c8cb418fb,Commercial Support Services,0,0,0,0
59bbf56d3d34a835eb2786f0e,NetApp Inc,NTAP,955e5ef956e469bce74b0d640f18c9fb,Technology Hardware,1,1,1,1
b0af27032db94ba0a5dd59e4f,Nutanix Inc,NTNX,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,0
55e000cdcc4e2c9d3641ab9dc,Northern Trust Corp,NTRS,98bf4640b315d6320d944b36f9ea06e7,Capital Markets,1,1,1,1
17d627887c2ea8e1eb58d2215,Nuance Communications Inc,NUAN,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,1
675892f952f2b2d4ac4429c10,Nucor Corporation,NUE,b9a140691b80e2a764a04b14a3d816b9,Basic Resources,1,1,1,1
545c0c4a1cb473a12d7ad31d1,Nu Skin Enterprises Inc,NUS,b5a874f85f2aea08ebd2fa66376cb0e7,Personal Products,1,1,1,1
28d2f243465d9c3daa82b52f3,NOVOCURE LTD,NVCR,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,0,0,0
81733c2bdcda385e8f2b87cda,NVIDIA Corp,NVDA,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,1,1,1,1
99f31fd39865d33768be4dc32,NVR Inc,NVR,6ccd87c01fb82eac743307c8dd219fd3,Household Goods & Apparel,1,1,1,1
873b4cc458e8b567515833950,ENVISTA HOLDINGS,NVST,e7db1c88e2f0c27ca6be63dd50901ec3,Health Care Equipment & Services,0,0,0,0
c750b4aa163e9ee02c8dfddd5,nVent Electric Plc,NVT,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,0
dd67b15af1e9d656c9d74a2dd,Newell Brands Inc,NWL,6ccd87c01fb82eac743307c8dd219fd3,Household Goods & Apparel,1,1,1,1
bd39f6d7b9e4ffb4adad61fca,News Corporation,NWS,3b563524fdb17b4a86590470d40bef74,Media,1,1,1,1
b4b69260f008aa1608e415222,Nexstar Media Group,NXST,3b563524fdb17b4a86590470d40bef74,Media,1,1,0,0
34e53aaba425ffc8931840c71,New York Community Bancorp Inc,NYCB,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
8978f6debcd21b1a339fee610,The New York Times Company,NYT,3b563524fdb17b4a86590470d40bef74,Media,1,1,0,0
73be5b0ca142f59f2ab18c4c1,Orbital ATK,OA,c858b4ff24bc25a5b36ea56dad3897db,Aerospace & Defense,0,0,0,1
242a5120cd0c79c438d4b68d4,Owens Corning,OC,7ac110e84d23204aa63c248a732f2179,Building Materials & Packaging,1,1,1,1
428b1c24036a5d555a05ef893,Old Dominion Freight Line Inc,ODFL,a600971fdd23ea1f5685d7ee01d5f5c3,Transportation,1,1,1,1
20ebedf0294333468ea5f0cd4,OGE Energy Corp,OGE,8eeb54b8e9786d5ed4cf8ff2686e2d42,Energy Equipment & Services,1,1,1,1
b8e0fcf0e32b31b411cbf027e,One Gas Inc,OGS,ceba282b7418b7f199798b645e1cba56,Utilities,0,0,0,0
0417bd930f7db47e2d634ef0a,"Owens?Illinois, Inc.",OI,7ac110e84d23204aa63c248a732f2179,Building Materials & Packaging,0,1,1,1
96120e586240cbab5f009b135,Oceaneering International,OII,8eeb54b8e9786d5ed4cf8ff2686e2d42,Energy Equipment & Services,0,0,0,1
f17db45e17546386e47675908,"ONEOK, Inc. ",OKE,8eeb54b8e9786d5ed4cf8ff2686e2d42,Energy Equipment & Services,1,1,1,1
4bd56f51601935f6bd080f452,Okta Inc,OKTA,26bf8f8d573c40a59aebf4eb0e5d914f,Computer Services,1,1,1,0
d43766dedc6e26af0466757d5,Universal Display Corp,OLED,6ffda4ff590948af9d315927fc3a27e6,Industrial Goods,1,1,1,1
510cbc1af1bf2a59ea2a91eb8,"Ollie's Bargain Outlet Holdings, Inc.",OLLI,053e0bc8b9627b28e2ed8029a34b35bd,Retail,1,1,0,0
87d2816b51b96a4b9d184d852,Olin Corp,OLN,6089771c4b5ac170dfb12ccafc589ce9,Chemicals,1,1,1,1
ba8ad1cc389383899c6740637,Omnicom Group Inc,OMC,3b563524fdb17b4a86590470d40bef74,Media,1,1,1,1
801423c888f34aa9a4e6644b9,"OneMain Holdings, Inc.",OMF,d271a2c22f236f624dae9917965bab6d,Consumer & Diversified Finance,1,1,1,1
25acaea7bd7f5f7eb91e63dc0,ON Semiconductor Corp,ON,1ecd5cf57e6c65fce778542d3578a2fd,Semiconductors & Equipment,1,1,1,1
223f14b63999a50559de7033c,OPKO Health,OPK,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,0,0,0,1
9c6ea5969de7281db05c3920c,Oracle Corporation,ORCL,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,1
219958da0a104a6358e1fc76c,Old Republic International Corp,ORI,eaff1bdf24fcffe0e14e29a1bff51a12,Insurance,1,1,1,1
d8711edfd8b0148261acf2625,O'Reilly Automotive Inc,ORLY,053e0bc8b9627b28e2ed8029a34b35bd,Retail,1,1,1,1
310bd7f2effabc1df9f15b325,Oshkosh Corporation,OSK,257a8d97f966fedd03cf5d7f558f68e2,Commercial Vehicles & Machinery,1,1,1,1
4f2decfa1b93835675c7b1b89,Otis Worldwide Corporation ,OTIS,257a8d97f966fedd03cf5d7f558f68e2,Commercial Vehicles & Machinery,1,0,0,0
82f3ad20b7438470ad99a8000,OUTFRONT Media Inc.,OUT,d84514acf6dd2dbbac51a77bd394e0ac,Real Estate,1,1,1,1
362005accde9dd55235de9bc3,Occidental Petroleum Corporation,OXY,5186f581089f313773b32576818b79fe,Oil & Gas,1,1,1,1
7320593e1f86232b03b367336,Bank OZK,OZK,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,0
1c7e130ce24683ea777a2f19d,Pandora Media,P,3b563524fdb17b4a86590470d40bef74,Media,0,0,0,1
75b6306d896571a99284c83ba,PacWest Bancorp,PACW,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
c73e1793e190cbf699be3c2b7,"Penske Automotive Group, Inc.",PAG,053e0bc8b9627b28e2ed8029a34b35bd,Retail,1,1,1,1
235644962087dd5fd8431ffc7,Platform Specialty Products Corp,PAH,6089771c4b5ac170dfb12ccafc589ce9,Chemicals,0,0,1,1
c26eb2ce0ba487ba115058c78,Palo Alto Networks,PANW,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,1
a644066512db8f9c2b36cb8a8,Paycom Software Inc,PAYC,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,0
a117ff6612f1df8eb70b75999,Paychex Inc,PAYX,c55bccd7265df862ebc4dc9c8cb418fb,Commercial Support Services,1,1,1,1
fcce794306e9e8f2bfdd8f4c6,Prosperity Bancshares Inc,PB,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
1e4219ba4fd45de2f0d9e606f,"Peoples United Financial, Inc.",PBCT,0927b0b8a7a95b5f02808e24b954e3e3,Banks,1,1,1,1
